class,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat
p,f,s,n,Yes,p,f,close,narrow,black,e,e,s,smooth,w,w,p,white,o,pendant,n,scattered,urban
p,f,s,w,Yes,p,f,close,narrow,black,e,e,s,smooth,w,w,p,white,o,pendant,k,several,grasses
p,f,s,w,Yes,p,f,close,narrow,brown,e,e,s,smooth,w,w,p,white,o,pendant,k,scattered,urban
e,f,f,w,No,n,f,crowded,broad,chocolate,t,e,s,fibrous,w,w,p,white,o,evanescent,n,abundant,grasses
e,f,s,n,No,n,f,crowded,broad,chocolate,t,e,f,smooth,w,w,p,white,o,evanescent,n,scattered,grasses
e,f,f,n,No,n,f,crowded,broad,chocolate,t,e,f,fibrous,w,w,p,white,o,evanescent,k,abundant,grasses
e,x,s,n,No,n,f,crowded,broad,chocolate,t,e,s,fibrous,w,w,p,white,o,evanescent,k,abundant,grasses
e,f,s,n,No,n,f,crowded,broad,black,t,e,s,fibrous,w,w,p,white,o,evanescent,k,abundant,grasses
p,f,s,w,Yes,p,f,close,narrow,pink,e,e,s,smooth,w,w,p,white,o,pendant,n,several,grasses
p,f,s,w,Yes,p,f,close,narrow,brown,e,e,s,smooth,w,w,p,white,o,pendant,k,several,grasses
e,f,s,g,No,n,f,crowded,broad,pink,t,e,f,fibrous,w,w,p,white,o,evanescent,n,abundant,grasses
e,x,s,n,No,n,f,crowded,broad,black,t,e,f,smooth,w,w,p,white,o,evanescent,k,abundant,grasses
e,x,s,n,No,n,f,crowded,broad,chocolate,t,e,f,fibrous,w,w,p,white,o,evanescent,n,scattered,grasses
e,x,f,n,Yes,n,f,close,broad,white,t,b,s,smooth,w,g,p,white,o,pendant,k,several,woods
e,x,f,n,Yes,n,f,close,broad,brown,t,b,s,smooth,g,w,p,white,o,pendant,n,several,woods
e,f,f,w,No,n,f,crowded,broad,pink,t,e,f,smooth,w,w,p,white,o,evanescent,k,abundant,grasses
e,f,f,w,No,n,f,crowded,broad,brown,t,e,f,smooth,w,w,p,white,o,evanescent,n,scattered,grasses
e,x,f,w,No,n,f,crowded,broad,black,t,e,f,fibrous,w,w,p,white,o,evanescent,k,abundant,grasses
e,x,s,y,Yes,l,f,close,broad,brown,e,c,s,smooth,w,w,p,white,o,pendant,n,numerous,meadows
e,f,s,g,No,n,f,crowded,broad,brown,t,e,f,fibrous,w,w,p,white,o,evanescent,n,abundant,grasses
e,x,s,w,No,n,f,crowded,broad,chocolate,t,e,s,fibrous,w,w,p,white,o,evanescent,n,scattered,grasses
e,x,f,n,No,n,f,crowded,broad,brown,t,e,s,smooth,w,w,p,white,o,evanescent,n,scattered,grasses
e,x,f,n,No,n,f,crowded,broad,pink,t,e,f,smooth,w,w,p,white,o,evanescent,n,abundant,grasses
e,x,s,w,No,n,f,crowded,broad,brown,t,e,s,smooth,w,w,p,white,o,evanescent,n,scattered,grasses
e,x,s,n,No,n,f,crowded,broad,chocolate,t,e,f,fibrous,w,w,p,white,o,evanescent,k,scattered,grasses
e,x,s,g,No,n,f,crowded,broad,chocolate,t,e,f,smooth,w,w,p,white,o,evanescent,n,scattered,grasses
e,x,s,g,No,n,f,crowded,broad,pink,t,e,s,fibrous,w,w,p,white,o,evanescent,k,scattered,grasses
e,f,s,w,No,n,f,crowded,broad,pink,t,e,s,smooth,w,w,p,white,o,evanescent,n,scattered,grasses
e,x,s,n,No,n,f,crowded,broad,brown,t,e,f,fibrous,w,w,p,white,o,evanescent,k,abundant,grasses
e,f,f,g,No,n,f,crowded,broad,pink,t,e,s,smooth,w,w,p,white,o,evanescent,n,scattered,grasses
e,f,f,w,No,n,f,crowded,broad,chocolate,t,e,s,smooth,w,w,p,white,o,evanescent,k,scattered,grasses
e,x,f,w,No,n,f,crowded,broad,brown,t,e,s,smooth,w,w,p,white,o,evanescent,n,abundant,grasses
e,f,f,g,No,n,f,crowded,broad,chocolate,t,e,f,smooth,w,w,p,white,o,evanescent,k,scattered,grasses
e,x,f,g,No,n,f,crowded,broad,pink,t,e,s,fibrous,w,w,p,white,o,evanescent,k,abundant,grasses
e,x,y,y,Yes,a,f,close,broad,gray,e,c,s,smooth,w,w,p,white,o,pendant,k,numerous,grasses
e,x,s,y,Yes,l,f,close,broad,brown,e,c,s,smooth,w,w,p,white,o,pendant,k,numerous,grasses
e,x,s,w,No,n,f,crowded,broad,pink,t,e,s,fibrous,w,w,p,white,o,evanescent,k,abundant,grasses
p,x,y,n,Yes,p,f,close,narrow,black,e,e,s,smooth,w,w,p,white,o,pendant,k,scattered,grasses
e,x,f,w,No,n,f,crowded,broad,black,t,e,s,fibrous,w,w,p,white,o,evanescent,n,scattered,grasses
p,x,s,w,Yes,p,f,close,narrow,white,e,e,s,smooth,w,w,p,white,o,pendant,k,scattered,urban
e,x,y,g,Yes,n,f,close,broad,brown,t,b,s,smooth,p,g,p,white,o,pendant,n,several,woods
p,f,s,w,Yes,p,f,close,narrow,white,e,e,s,smooth,w,w,p,white,o,pendant,k,several,urban
e,x,y,y,Yes,l,f,close,broad,gray,e,c,s,smooth,w,w,p,white,o,pendant,n,scattered,grasses
e,x,y,w,Yes,l,f,close,broad,brown,e,c,s,smooth,w,w,p,white,o,pendant,n,numerous,meadows
e,f,y,n,Yes,l,f,close,broad,brown,e,r,s,scaly,w,w,p,white,o,pendant,n,solitary,paths
e,x,s,w,No,n,f,crowded,broad,brown,t,e,s,fibrous,w,w,p,white,o,evanescent,n,scattered,grasses
e,f,s,n,No,n,f,crowded,broad,pink,t,e,f,smooth,w,w,p,white,o,evanescent,k,scattered,grasses
e,x,s,g,No,n,f,crowded,broad,pink,t,e,s,smooth,w,w,p,white,o,evanescent,k,abundant,grasses
e,x,s,w,No,n,f,crowded,broad,brown,t,e,f,smooth,w,w,p,white,o,evanescent,k,abundant,grasses
e,f,s,n,No,n,f,crowded,broad,chocolate,t,e,f,fibrous,w,w,p,white,o,evanescent,n,scattered,grasses
e,f,s,n,No,n,f,crowded,broad,brown,t,e,s,smooth,w,w,p,white,o,evanescent,k,abundant,grasses
e,x,s,g,No,n,f,crowded,broad,brown,t,e,f,fibrous,w,w,p,white,o,evanescent,k,scattered,grasses
e,b,s,w,Yes,l,f,close,broad,brown,e,c,s,smooth,w,w,p,white,o,pendant,n,numerous,grasses
e,x,s,g,No,n,f,crowded,broad,pink,t,e,s,smooth,w,w,p,white,o,evanescent,k,scattered,grasses
e,x,s,y,Yes,l,f,close,broad,white,e,c,s,smooth,w,w,p,white,o,pendant,k,scattered,meadows
p,f,y,w,Yes,p,f,close,narrow,brown,e,e,s,smooth,w,w,p,white,o,pendant,k,several,grasses
e,f,s,w,No,n,f,crowded,broad,pink,t,e,f,fibrous,w,w,p,white,o,evanescent,k,scattered,grasses
e,f,s,n,No,n,f,crowded,broad,chocolate,t,e,f,fibrous,w,w,p,white,o,evanescent,k,scattered,grasses
e,f,s,g,No,n,f,crowded,broad,brown,t,e,s,smooth,w,w,p,white,o,evanescent,n,scattered,grasses
e,f,f,g,No,n,f,crowded,broad,chocolate,t,e,f,smooth,w,w,p,white,o,evanescent,n,scattered,grasses
e,x,y,n,Yes,n,f,close,broad,pink,t,b,s,smooth,g,w,p,white,o,pendant,n,solitary,woods
e,x,f,n,Yes,n,f,close,broad,brown,t,b,s,smooth,g,g,p,white,o,pendant,k,solitary,woods
e,x,y,y,Yes,a,f,close,broad,brown,e,r,s,scaly,w,w,p,white,o,pendant,n,solitary,paths
e,x,f,g,Yes,n,f,close,broad,white,t,b,s,smooth,p,p,p,white,o,pendant,k,solitary,woods
e,f,f,g,No,n,f,crowded,broad,pink,t,e,f,fibrous,w,w,p,white,o,evanescent,n,abundant,grasses
e,f,s,n,No,n,f,crowded,broad,chocolate,t,e,f,smooth,w,w,p,white,o,evanescent,k,scattered,grasses
e,f,s,w,No,n,f,crowded,broad,brown,t,e,s,fibrous,w,w,p,white,o,evanescent,n,abundant,grasses
e,x,f,g,No,n,f,crowded,broad,black,t,e,f,smooth,w,w,p,white,o,evanescent,n,abundant,grasses
e,f,s,w,No,n,f,crowded,broad,brown,t,e,f,fibrous,w,w,p,white,o,evanescent,k,scattered,grasses
e,f,f,g,No,n,f,crowded,broad,brown,t,e,f,smooth,w,w,p,white,o,evanescent,n,abundant,grasses
e,x,f,g,No,n,f,crowded,broad,black,t,e,s,smooth,w,w,p,white,o,evanescent,n,abundant,grasses
e,x,s,n,No,n,f,crowded,broad,black,t,e,s,fibrous,w,w,p,white,o,evanescent,n,abundant,grasses
e,x,f,n,Yes,n,f,close,broad,white,t,b,s,smooth,w,g,p,white,o,pendant,k,solitary,woods
e,f,s,w,No,n,f,crowded,broad,black,t,e,s,smooth,w,w,p,white,o,evanescent,n,scattered,grasses
e,f,f,n,No,n,f,crowded,broad,brown,t,e,f,smooth,w,w,p,white,o,evanescent,k,scattered,grasses
p,f,y,n,Yes,p,f,close,narrow,white,e,e,s,smooth,w,w,p,white,o,pendant,k,scattered,grasses
e,x,f,n,Yes,n,f,close,broad,brown,t,b,s,smooth,p,w,p,white,o,pendant,k,solitary,woods
e,x,f,n,No,n,f,crowded,broad,pink,t,e,f,fibrous,w,w,p,white,o,evanescent,k,scattered,grasses
e,f,f,w,No,n,f,crowded,broad,brown,t,e,s,fibrous,w,w,p,white,o,evanescent,k,scattered,grasses
p,f,y,n,Yes,p,f,close,narrow,brown,e,e,s,smooth,w,w,p,white,o,pendant,n,several,urban
e,f,f,g,No,n,f,crowded,broad,black,t,e,s,smooth,w,w,p,white,o,evanescent,k,scattered,grasses
e,x,f,g,Yes,n,f,close,broad,brown,t,b,s,smooth,w,w,p,white,o,pendant,k,several,woods
e,x,f,w,No,n,f,crowded,broad,pink,t,e,f,fibrous,w,w,p,white,o,evanescent,k,abundant,grasses
e,x,f,g,No,n,f,crowded,broad,chocolate,t,e,f,fibrous,w,w,p,white,o,evanescent,k,scattered,grasses
e,x,f,n,Yes,n,f,close,broad,white,t,b,s,smooth,g,p,p,white,o,pendant,n,several,woods
e,x,s,g,No,n,f,crowded,broad,chocolate,t,e,s,fibrous,w,w,p,white,o,evanescent,n,abundant,grasses
e,f,f,w,No,n,f,crowded,broad,pink,t,e,s,fibrous,w,w,p,white,o,evanescent,n,abundant,grasses
e,x,f,g,Yes,n,f,close,broad,purple,t,b,s,smooth,p,p,p,white,o,pendant,k,solitary,woods
e,x,y,w,Yes,l,f,close,broad,white,e,c,s,smooth,w,w,p,white,o,pendant,k,numerous,grasses
e,x,y,w,Yes,l,f,close,broad,black,e,c,s,smooth,w,w,p,white,o,pendant,n,numerous,meadows
e,f,s,g,No,n,f,crowded,broad,pink,t,e,f,smooth,w,w,p,white,o,evanescent,n,scattered,grasses
e,f,s,w,No,n,f,crowded,broad,black,t,e,s,smooth,w,w,p,white,o,evanescent,k,abundant,grasses
e,f,s,n,No,n,f,crowded,broad,brown,t,e,f,fibrous,w,w,p,white,o,evanescent,k,scattered,grasses
e,f,s,w,No,n,f,crowded,broad,pink,t,e,f,smooth,w,w,p,white,o,evanescent,k,abundant,grasses
e,x,f,n,No,n,f,crowded,broad,chocolate,t,e,s,fibrous,w,w,p,white,o,evanescent,n,abundant,grasses
e,x,s,n,No,n,f,crowded,broad,brown,t,e,s,fibrous,w,w,p,white,o,evanescent,n,scattered,grasses
e,b,y,y,Yes,a,f,close,broad,gray,e,c,s,smooth,w,w,p,white,o,pendant,n,numerous,meadows
p,f,y,w,Yes,p,f,close,narrow,black,e,e,s,smooth,w,w,p,white,o,pendant,k,several,grasses
e,x,s,n,No,n,f,crowded,broad,black,t,e,s,fibrous,w,w,p,white,o,evanescent,k,abundant,grasses
e,f,s,n,No,n,f,crowded,broad,black,t,e,f,smooth,w,w,p,white,o,evanescent,k,scattered,grasses
e,x,y,n,Yes,a,f,close,broad,brown,e,r,s,scaly,w,w,p,white,o,pendant,k,scattered,grasses
e,x,s,g,No,n,f,crowded,broad,brown,t,e,f,fibrous,w,w,p,white,o,evanescent,n,abundant,grasses
e,f,s,w,No,n,f,crowded,broad,black,t,e,f,smooth,w,w,p,white,o,evanescent,n,abundant,grasses
p,x,s,n,Yes,p,f,close,narrow,brown,e,e,s,smooth,w,w,p,white,o,pendant,k,several,urban
e,f,s,g,No,n,f,crowded,broad,brown,t,e,f,fibrous,w,w,p,white,o,evanescent,k,abundant,grasses
e,x,f,w,No,n,f,crowded,broad,pink,t,e,f,smooth,w,w,p,white,o,evanescent,n,scattered,grasses
p,f,s,n,Yes,p,f,close,narrow,brown,e,e,s,smooth,w,w,p,white,o,pendant,k,several,grasses
e,x,f,n,No,n,f,crowded,broad,pink,t,e,s,smooth,w,w,p,white,o,evanescent,n,abundant,grasses
e,x,s,n,No,n,f,crowded,broad,pink,t,e,f,smooth,w,w,p,white,o,evanescent,k,abundant,grasses
e,x,f,n,Yes,n,f,close,broad,purple,t,b,s,smooth,g,p,p,white,o,pendant,k,several,woods
e,f,s,w,No,n,f,crowded,broad,pink,t,e,f,smooth,w,w,p,white,o,evanescent,k,scattered,grasses
p,f,s,w,Yes,p,f,close,narrow,pink,e,e,s,smooth,w,w,p,white,o,pendant,n,several,urban
e,x,f,w,No,n,f,crowded,broad,chocolate,t,e,s,fibrous,w,w,p,white,o,evanescent,k,abundant,grasses
e,f,f,n,No,n,f,crowded,broad,chocolate,t,e,s,smooth,w,w,p,white,o,evanescent,n,scattered,grasses
e,f,s,g,No,n,f,crowded,broad,pink,t,e,f,fibrous,w,w,p,white,o,evanescent,n,scattered,grasses
e,x,f,w,No,n,f,crowded,broad,brown,t,e,f,fibrous,w,w,p,white,o,evanescent,k,abundant,grasses
e,f,y,n,Yes,l,f,close,broad,white,e,r,s,scaly,w,w,p,white,o,pendant,n,solitary,grasses
p,f,s,w,Yes,p,f,close,narrow,white,e,e,s,smooth,w,w,p,white,o,pendant,n,scattered,grasses
e,x,f,w,No,n,f,crowded,broad,pink,t,e,s,smooth,w,w,p,white,o,evanescent,n,abundant,grasses
e,f,f,n,No,n,f,close,narrow,pink,e,e,s,smooth,w,w,p,white,o,pendant,k,solitary,urban
p,f,y,n,Yes,p,f,close,narrow,white,e,e,s,smooth,w,w,p,white,o,pendant,n,scattered,urban
e,f,s,w,No,n,f,crowded,broad,brown,t,e,s,fibrous,w,w,p,white,o,evanescent,n,scattered,grasses
e,x,f,g,No,n,f,crowded,broad,black,t,e,f,fibrous,w,w,p,white,o,evanescent,n,scattered,grasses
e,f,y,y,Yes,a,f,close,broad,brown,e,r,s,scaly,w,w,p,white,o,pendant,n,solitary,paths
e,x,f,w,No,n,f,crowded,broad,chocolate,t,e,f,fibrous,w,w,p,white,o,evanescent,n,scattered,grasses
e,x,f,w,No,n,f,crowded,broad,chocolate,t,e,f,fibrous,w,w,p,white,o,evanescent,k,abundant,grasses
p,f,y,n,Yes,p,f,close,narrow,brown,e,e,s,smooth,w,w,p,white,o,pendant,n,scattered,grasses
e,f,f,n,No,n,f,crowded,broad,chocolate,t,e,f,smooth,w,w,p,white,o,evanescent,k,scattered,grasses
e,f,f,g,No,n,f,crowded,broad,black,t,e,s,smooth,w,w,p,white,o,evanescent,n,scattered,grasses
e,x,f,n,No,n,f,crowded,broad,brown,t,e,s,smooth,w,w,p,white,o,evanescent,k,scattered,grasses
e,x,f,n,Yes,n,f,close,broad,pink,t,b,s,smooth,p,p,p,white,o,pendant,n,several,woods
e,x,s,g,No,n,f,crowded,broad,black,t,e,f,fibrous,w,w,p,white,o,evanescent,k,scattered,grasses
e,x,s,g,No,n,f,crowded,broad,brown,t,e,f,smooth,w,w,p,white,o,evanescent,k,abundant,grasses
e,x,f,w,No,n,f,crowded,broad,black,t,e,f,fibrous,w,w,p,white,o,evanescent,k,scattered,grasses
e,f,f,g,No,n,f,crowded,broad,chocolate,t,e,s,smooth,w,w,p,white,o,evanescent,n,scattered,grasses
e,x,f,n,Yes,n,f,close,broad,brown,t,b,s,smooth,w,w,p,white,o,pendant,k,solitary,woods
e,x,s,w,No,n,f,crowded,broad,pink,t,e,f,fibrous,w,w,p,white,o,evanescent,n,scattered,grasses
p,x,s,w,Yes,p,f,close,narrow,brown,e,e,s,smooth,w,w,p,white,o,pendant,n,scattered,urban
e,f,s,g,No,n,f,crowded,broad,brown,t,e,s,fibrous,w,w,p,white,o,evanescent,n,abundant,grasses
e,x,s,n,No,n,f,crowded,broad,black,t,e,s,smooth,w,w,p,white,o,evanescent,n,scattered,grasses
e,x,f,n,Yes,n,f,close,broad,pink,t,b,s,smooth,w,g,p,white,o,pendant,k,several,woods
e,x,y,y,Yes,a,f,close,broad,pink,e,r,s,scaly,w,w,p,white,o,pendant,n,solitary,grasses
e,x,s,g,No,n,f,crowded,broad,black,t,e,f,fibrous,w,w,p,white,o,evanescent,k,abundant,grasses
e,x,f,n,No,n,f,crowded,broad,chocolate,t,e,f,smooth,w,w,p,white,o,evanescent,k,abundant,grasses
e,x,f,w,No,n,f,crowded,broad,black,t,e,s,smooth,w,w,p,white,o,evanescent,k,abundant,grasses
e,x,y,y,Yes,a,f,close,broad,black,e,c,s,smooth,w,w,p,white,o,pendant,n,scattered,grasses
e,x,f,n,Yes,n,f,close,broad,pink,t,b,s,smooth,g,w,p,white,o,pendant,k,solitary,woods
e,x,f,w,No,n,f,crowded,broad,pink,t,e,s,smooth,w,w,p,white,o,evanescent,k,abundant,grasses
e,x,f,w,No,n,f,crowded,broad,brown,t,e,f,smooth,w,w,p,white,o,evanescent,k,abundant,grasses
p,f,s,n,Yes,p,f,close,narrow,brown,e,e,s,smooth,w,w,p,white,o,pendant,n,scattered,urban
p,f,s,w,Yes,p,f,close,narrow,black,e,e,s,smooth,w,w,p,white,o,pendant,k,several,urban
e,x,s,n,No,n,f,crowded,broad,pink,t,e,s,smooth,w,w,p,white,o,evanescent,k,abundant,grasses
e,x,f,g,No,n,f,close,narrow,brown,e,e,s,smooth,w,w,p,white,o,pendant,n,several,urban
e,f,s,n,No,n,f,crowded,broad,pink,t,e,f,fibrous,w,w,p,white,o,evanescent,k,scattered,grasses
e,x,s,w,No,n,f,crowded,broad,black,t,e,f,smooth,w,w,p,white,o,evanescent,k,abundant,grasses
p,f,s,w,Yes,p,f,close,narrow,white,e,e,s,smooth,w,w,p,white,o,pendant,k,scattered,grasses
e,b,s,y,Yes,a,f,close,broad,black,e,c,s,smooth,w,w,p,white,o,pendant,n,scattered,grasses
e,x,f,n,No,n,f,crowded,broad,chocolate,t,e,f,fibrous,w,w,p,white,o,evanescent,k,abundant,grasses
p,f,y,n,Yes,p,f,close,narrow,brown,e,e,s,smooth,w,w,p,white,o,pendant,k,scattered,urban
e,x,s,g,No,n,f,crowded,broad,chocolate,t,e,f,fibrous,w,w,p,white,o,evanescent,k,abundant,grasses
e,x,s,g,No,n,f,crowded,broad,black,t,e,s,fibrous,w,w,p,white,o,evanescent,n,scattered,grasses
e,x,s,w,No,n,f,crowded,broad,brown,t,e,f,smooth,w,w,p,white,o,evanescent,k,scattered,grasses
p,f,s,w,Yes,p,f,close,narrow,brown,e,e,s,smooth,w,w,p,white,o,pendant,n,several,urban
e,f,s,w,No,n,f,crowded,broad,black,t,e,f,fibrous,w,w,p,white,o,evanescent,k,abundant,grasses
e,x,f,n,No,n,f,crowded,broad,chocolate,t,e,f,smooth,w,w,p,white,o,evanescent,n,abundant,grasses
e,f,f,n,No,n,f,crowded,broad,pink,t,e,s,smooth,w,w,p,white,o,evanescent,n,scattered,grasses
e,x,f,n,No,n,f,crowded,broad,pink,t,e,f,fibrous,w,w,p,white,o,evanescent,n,abundant,grasses
p,f,y,n,Yes,p,f,close,narrow,black,e,e,s,smooth,w,w,p,white,o,pendant,k,several,grasses
e,x,f,w,No,n,f,crowded,broad,pink,t,e,s,fibrous,w,w,p,white,o,evanescent,n,scattered,grasses
e,f,s,w,No,n,f,crowded,broad,pink,t,e,f,smooth,w,w,p,white,o,evanescent,n,abundant,grasses
p,f,y,w,Yes,p,f,close,narrow,black,e,e,s,smooth,w,w,p,white,o,pendant,k,several,urban
e,f,s,g,No,n,f,crowded,broad,pink,t,e,s,fibrous,w,w,p,white,o,evanescent,k,abundant,grasses
e,f,y,n,Yes,n,f,close,broad,white,t,b,s,smooth,w,g,p,white,o,pendant,n,several,woods
e,x,f,g,No,n,f,crowded,broad,chocolate,t,e,s,fibrous,w,w,p,white,o,evanescent,n,abundant,grasses
e,x,f,g,Yes,n,f,close,broad,purple,t,b,s,smooth,w,p,p,white,o,pendant,k,several,woods
e,x,y,n,Yes,n,f,close,broad,pink,t,b,s,smooth,p,w,p,white,o,pendant,n,several,woods
e,f,f,n,Yes,n,f,close,broad,brown,t,b,s,smooth,p,g,p,white,o,pendant,n,solitary,woods
e,f,y,e,Yes,n,f,close,broad,pink,t,b,s,smooth,p,p,p,white,o,pendant,k,several,woods
e,f,s,g,No,n,f,crowded,broad,chocolate,t,e,f,smooth,w,w,p,white,o,evanescent,n,scattered,grasses
e,x,f,g,Yes,n,f,close,broad,purple,t,b,s,smooth,p,p,p,white,o,pendant,n,solitary,woods
e,x,y,g,Yes,n,f,close,broad,pink,t,b,s,smooth,g,p,p,white,o,pendant,k,solitary,woods
e,x,f,g,No,n,f,crowded,broad,pink,t,e,f,smooth,w,w,p,white,o,evanescent,n,scattered,grasses
p,f,s,n,Yes,p,f,close,narrow,brown,e,e,s,smooth,w,w,p,white,o,pendant,n,scattered,grasses
e,f,f,n,Yes,n,f,close,broad,brown,t,b,s,smooth,g,w,p,white,o,pendant,k,several,woods
p,x,s,n,Yes,p,f,close,narrow,brown,e,e,s,smooth,w,w,p,white,o,pendant,k,several,grasses
e,x,s,w,Yes,a,f,close,broad,brown,e,c,s,smooth,w,w,p,white,o,pendant,n,scattered,grasses
e,x,s,w,No,n,f,crowded,broad,chocolate,t,e,s,smooth,w,w,p,white,o,evanescent,k,abundant,grasses
e,x,y,y,Yes,a,f,close,broad,gray,e,c,s,smooth,w,w,p,white,o,pendant,n,scattered,grasses
p,x,f,g,No,f,f,close,broad,chocolate,e,b,k,silky,n,b,p,white,o,large,h,solitary,grasses
e,f,s,n,No,n,f,crowded,broad,black,t,e,f,smooth,w,w,p,white,o,evanescent,n,abundant,grasses
e,f,s,w,No,n,f,crowded,broad,pink,t,e,f,fibrous,w,w,p,white,o,evanescent,n,scattered,grasses
e,x,f,n,Yes,n,f,close,broad,pink,t,b,s,smooth,g,g,p,white,o,pendant,k,several,woods
e,f,s,n,No,n,f,crowded,broad,chocolate,t,e,s,smooth,w,w,p,white,o,evanescent,k,scattered,grasses
e,x,f,n,No,n,f,crowded,broad,chocolate,t,e,s,fibrous,w,w,p,white,o,evanescent,k,scattered,grasses
p,x,s,w,Yes,p,f,close,narrow,pink,e,e,s,smooth,w,w,p,white,o,pendant,k,several,urban
e,f,f,n,Yes,n,f,close,broad,pink,t,b,s,smooth,p,g,p,white,o,pendant,n,solitary,woods
e,x,y,w,Yes,l,f,close,broad,black,e,c,s,smooth,w,w,p,white,o,pendant,n,numerous,grasses
e,f,f,g,No,n,f,crowded,broad,brown,t,e,f,smooth,w,w,p,white,o,evanescent,k,scattered,grasses
e,x,y,e,Yes,n,f,close,broad,brown,t,b,s,smooth,w,g,p,white,o,pendant,n,several,woods
e,f,f,w,No,n,f,crowded,broad,brown,t,e,s,smooth,w,w,p,white,o,evanescent,k,scattered,grasses
e,x,s,g,No,n,f,crowded,broad,pink,t,e,f,smooth,w,w,p,white,o,evanescent,n,abundant,grasses
e,x,y,n,Yes,n,f,close,broad,brown,t,b,s,smooth,w,p,p,white,o,pendant,k,several,woods
e,x,y,g,Yes,n,f,close,broad,white,t,b,s,smooth,w,g,p,white,o,pendant,n,solitary,woods
e,x,f,g,Yes,n,f,close,broad,purple,t,b,s,smooth,g,w,p,white,o,pendant,k,several,woods
e,f,s,w,No,n,f,crowded,broad,brown,t,e,f,smooth,w,w,p,white,o,evanescent,n,abundant,grasses
e,x,f,g,Yes,n,f,close,broad,purple,t,b,s,smooth,p,w,p,white,o,pendant,k,several,woods
e,x,f,n,Yes,n,f,close,broad,purple,t,b,s,smooth,g,g,p,white,o,pendant,n,several,woods
e,x,f,e,Yes,n,f,close,broad,white,t,b,s,smooth,g,w,p,white,o,pendant,n,several,woods
e,x,y,n,Yes,n,f,close,broad,white,t,b,s,smooth,p,g,p,white,o,pendant,n,solitary,woods
e,f,f,w,No,n,f,crowded,broad,chocolate,t,e,f,fibrous,w,w,p,white,o,evanescent,n,scattered,grasses
e,x,y,n,Yes,n,f,close,broad,pink,t,b,s,smooth,p,w,p,white,o,pendant,k,solitary,woods
e,x,s,g,No,n,f,crowded,broad,brown,t,e,s,fibrous,w,w,p,white,o,evanescent,k,scattered,grasses
e,x,f,g,No,n,f,crowded,broad,chocolate,t,e,f,smooth,w,w,p,white,o,evanescent,k,abundant,grasses
e,f,f,w,No,n,f,crowded,broad,pink,t,e,s,smooth,w,w,p,white,o,evanescent,n,abundant,grasses
e,x,y,g,Yes,n,f,close,broad,pink,t,b,s,smooth,w,p,p,white,o,pendant,k,several,woods
p,f,y,n,Yes,p,f,close,narrow,black,e,e,s,smooth,w,w,p,white,o,pendant,n,scattered,urban
e,x,y,e,Yes,n,f,close,broad,pink,t,b,s,smooth,p,g,p,white,o,pendant,k,several,woods
e,f,f,w,No,n,f,crowded,broad,pink,t,e,s,fibrous,w,w,p,white,o,evanescent,k,scattered,grasses
e,f,s,g,No,n,f,crowded,broad,chocolate,t,e,f,smooth,w,w,p,white,o,evanescent,n,abundant,grasses
e,x,y,g,Yes,n,f,close,broad,white,t,b,s,smooth,g,p,p,white,o,pendant,n,several,woods
e,f,f,g,Yes,n,f,close,broad,pink,t,b,s,smooth,p,w,p,white,o,pendant,k,several,woods
e,x,f,n,Yes,n,f,close,broad,white,t,b,s,smooth,g,w,p,white,o,pendant,k,several,woods
e,f,f,e,Yes,n,f,close,broad,brown,t,b,s,smooth,w,p,p,white,o,pendant,k,several,woods
e,x,s,w,No,n,f,crowded,broad,chocolate,t,e,f,smooth,w,w,p,white,o,evanescent,n,abundant,grasses
e,x,f,e,Yes,n,f,close,broad,white,t,b,s,smooth,w,g,p,white,o,pendant,n,several,woods
e,x,f,n,Yes,n,f,close,broad,pink,t,b,s,smooth,w,p,p,white,o,pendant,k,several,woods
e,x,f,g,Yes,n,f,close,broad,purple,t,b,s,smooth,w,w,p,white,o,pendant,k,solitary,woods
e,x,f,n,Yes,n,f,close,broad,brown,t,b,s,smooth,p,w,p,white,o,pendant,n,solitary,woods
e,x,f,y,Yes,a,f,crowded,narrow,white,t,b,s,smooth,w,w,p,white,o,pendant,n,several,woods
e,x,f,e,Yes,n,f,close,broad,white,t,b,s,smooth,g,g,p,white,o,pendant,n,several,woods
p,f,s,w,Yes,p,f,close,narrow,white,e,e,s,smooth,w,w,p,white,o,pendant,n,several,grasses
e,x,s,w,No,n,f,crowded,broad,chocolate,t,e,f,fibrous,w,w,p,white,o,evanescent,k,scattered,grasses
e,x,f,e,Yes,n,f,close,broad,purple,t,b,s,smooth,g,g,p,white,o,pendant,n,solitary,woods
e,x,y,n,Yes,n,f,close,broad,white,t,b,s,smooth,p,p,p,white,o,pendant,k,several,woods
e,x,f,w,No,n,f,crowded,broad,chocolate,t,e,f,smooth,w,w,p,white,o,evanescent,k,abundant,grasses
e,x,f,g,Yes,n,f,close,broad,white,t,b,s,smooth,p,w,p,white,o,pendant,n,solitary,woods
e,x,s,g,No,n,f,crowded,broad,brown,t,e,s,smooth,w,w,p,white,o,evanescent,n,scattered,grasses
